category,text,,,,
science,"Outer space is not friendly to life. Extreme temperatures, low pressure and radiation can quickly degrade cell membranes and destroy DNA.",,,,
sports,"Tennis, original name lawn tennis, game in which two opposing players (singles) or pairs of players (doubles) use tautly strung rackets to hit a ball of specified size, weight, and bounce over a net on a rectangular court. ",,,,
business,"One woman who frequently flew on Southwest was constantly disappointed with every aspect of the company’s operation. In fact, she became known as the “Pen Pal” because after every flight she wrote in with a complaint.",,,,
covid,"In December 2019, almost seven years after the MERS 2012 outbreak, a novel Coronavirus (2019-nCoV) surfaced in Wuhan in the Hubei region of China.",,,,
science,Any life-forms that somehow find themselves in the void soon die. Unless they band together.,,,,
science,"As small communities, new research shows, some bacteria can withstand that harsh environment.",,,,
science,Balls of Deinococcus bacteria as thin as five sheets of paper were placed on the outside of the International Space Station.,,,,
science,They stayed there for three years. Microbes in the heart of those balls survived.,,,,
science,The group’s outer layers had shielded them from the extremes of space.,,,,
science,"It was known that microbes could survive inside artificial meteorites. But this is the first evidence microbes can survive this long unprotected, says Margaret Cramm.",,,,
science,"“It suggests life can survive on its own in space as a group,” she says.",,,,
science,Cramm is a microbiologist at the University of Calgary in Canada who did not take part in the study.,,,,
science,She says the new finding adds weight to the worry that human space travel could accidentally introduce life to other planets.,,,,
science,"Akihiko Yamagishi is an astrobiologist. He works at the Institute of Space and Astronautical Science in Tokyo, Japan.",,,,
science,He was part of a team that sent dried pellets of Deinococcus bacteriato space in 2015.,,,,
science,"These radiation-resistant microbes thrive in extreme places, such as Earth’s stratosphere.",,,,
science,The bacteria were stuffed into small wells in metal plates. NASA astronaut Scott Kelly affixed those plates to the exterior of the space station. Samples were then sent back to Earth each year. ,,,,
science,"Back home, researchers moistened the pellets. They also fed the bacteria food. Then they waited.",,,,
science,"After three years in space, bacteria in 100-micrometer-thick pellets didn’t make it.",,,,
science,DNA studies suggested that radiation had fried their genetic material.,,,,
science,"The outer layers of pellets that were 500- to 1,000-micrometers (0.02 to 0.04 inch) thick also were dead.",,,,
science,They were discolored by ultraviolet radiation and desiccation. But those dead cells shielded inner microbes from the hazards of space.,,,,
science,"About four in every 100 of the microbes in those larger pellets survived, Yamagishi says.",,,,
sports,Points are awarded to a player or team whenever the opponent fails to correctly return the ball within the prescribed dimensions of the court.,,,,
sports,"Organized tennis is played according to rules sanctioned by the International Tennis Federation (ITF), the world governing body of the sport.",,,,
sports,"Tennis originally was known as lawn tennis, and formally still is in Britain, because it was played on grass courts by Victorian gentlemen and ladies.",,,,
sports,"It is now played on a variety of surfaces. The origins of the game can be traced to a 12th–13th-century French handball game called jeu de paume (“game of the palm”), from which was derived a complex indoor racket-and-ball game: real tennis.",,,,
sports,"This ancient game is still played to a limited degree and is usually called real tennis in Britain, court tennis in the United States, and royal tennis in Australia.",,,,
sports,"Its period of most rapid growth as both a participant and a spectator sport began in the late 1960s, when the major championships were opened to professionals as well as amateurs, and continued in the 1970s, when television broadcasts of the expanding professional tournament circuits and the rise of some notable players and rivalries broadened the appeal of the game.",,,,
